id,prompt,intents
1,"Hey, can you check travel time delays near Changi and check weather too.","['spatio_temporal', 'traffic_impact', 'meta_attributes']"
2,Show me roadwork impact around Jurong East for the evening peak?,"['spatio_temporal', 'traffic_impact']"
3,Double check recent breakdowns along the PIE and show a quick chart.,"['incident_detection', 'visualization']"
4,Help me understand recent breakdowns downtown CBD and show a quick chart.,"['incident_detection', 'visualization']"
5,Not sure but looks like if sensors are behaving weird near Changi in simple terms pls.,"['traffic_anomaly', 'spatio_temporal']"
6,Is there any update on roadwork impact in the northern sector and show a quick chart.,"['spatio_temporal', 'traffic_impact', 'visualization']"
7,Quick check: if there's an incident at expressway interchanges without the minor events.,['incident_detection']
8,Please pull up roadwork impact along the PIE and show a quick chart.,"['traffic_impact', 'visualization']"
9,Please pull up travel time delays at expressway interchanges for the last hour?,['traffic_impact']
10,Is there any update on the congestion trend around Jurong East but don't forecast anything yet.,"['spatio_temporal', 'traffic_impact']"
11,Do we know the congestion trend around Toa Payoh since morning?,"['spatio_temporal', 'traffic_impact']"
12,Not sure but looks like travel time delays and show a quick chart.,"['traffic_impact', 'visualization']"
13,"Hey, can you check if there's an incident near Changi no visualisation needed.","['incident_detection', 'spatio_temporal', 'visualization']"
14,Is there any update on the impact level downtown CBD and compare with yesterday.,['traffic_impact']
15,I'm seeing unusual readings near incident severity along the PIE,"['incident_detection', 'incident_classification', 'traffic_anomaly', 'spatio_temporal']"
16,"Hey, can you check forecast for the next hour in the northern sector without the minor events.","['traffic_forecasting', 'spatio_temporal']"
17,Need info on the volume spike at expressway interchanges since morning?,[]
18,Do we know any anomalies near Changi today?,"['traffic_anomaly', 'spatio_temporal']"
19,Show me the spatio-temporal pattern at AYE westbound and compare with yesterday.,['spatio_temporal']
20,Is there any update on travel time delays around Toa Payoh but don't forecast anything yet.,"['spatio_temporal', 'traffic_impact']"
21,"Hey, can you check today’s accidents near Sengkang and check weather too.","['incident_detection', 'spatio_temporal', 'meta_attributes']"
22,Any idea why post-incident recovery at AYE westbound,"['causal_analysis', 'incident_detection']"
23,Show me incident severity near CTE Braddell if possible.,"['incident_detection', 'incident_classification', 'spatio_temporal']"
24,Double check recent breakdowns around Punggol,"['incident_detection', 'spatio_temporal']"
25,I think something's off post-incident recovery around Marina Bay for the last hour?,"['incident_detection', 'spatio_temporal']"
26,"Hey, can you check roadwork impact at AYE westbound without the minor events.",['traffic_impact']
27,Someone reported whether weather is affecting traffic downtown CBD right now?,['meta_attributes']
28,Can you check recent breakdowns around Jurong East right now?,"['incident_detection', 'spatio_temporal']"
29,I think something's off the speed drop around Punggol for the last hour?,['spatio_temporal']
30,Looks like today’s accidents along the PIE for the evening peak?,['incident_detection']
31,I think something's off the congestion trend near Sengkang no visualisation needed.,"['spatio_temporal', 'traffic_impact', 'visualization']"
32,Quick check: the spatio-temporal pattern in the northern sector but don't forecast anything yet.,['spatio_temporal']
33,Any idea why any anomalies near Sengkang for the evening peak?,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal']"
34,Any idea why travel time delays if possible.,"['causal_analysis', 'traffic_impact']"
35,Can you check roadwork impact around Marina Bay,"['spatio_temporal', 'traffic_impact']"
36,Looks like recent breakdowns downtown CBD without the minor events.,['incident_detection']
37,Help me understand the volume spike downtown CBD right now?,[]
38,I think something's off the speed drop around Woodlands checkpoint for the evening peak?,['spatio_temporal']
39,Looks like today’s accidents near KPE tunnels in simple terms pls.,"['incident_detection', 'spatio_temporal']"
40,Can we confirm accident clusters near CTE Braddell excluding heavy traffic alerts.,"['incident_detection', 'spatio_temporal']"
41,Do we know the impact level near KPE tunnels and check weather too.,"['spatio_temporal', 'traffic_impact', 'meta_attributes']"
42,Could you find out the congestion trend around Woodlands checkpoint for the last hour?,"['spatio_temporal', 'traffic_impact']"
43,Double check recent breakdowns around Marina Bay and compare with yesterday.,"['incident_detection', 'spatio_temporal']"
44,Pls show post-incident recovery along Thomson Road no visualisation needed.,"['incident_detection', 'visualization']"
45,Quick check: roadwork impact around Punggol excluding heavy traffic alerts.,"['spatio_temporal', 'traffic_impact']"
46,Is there any update on whether it's due to roadwork around Marina Bay without the minor events.,['spatio_temporal']
47,Any idea why whether weather is affecting traffic at expressway interchanges but don't forecast anything yet.,"['causal_analysis', 'meta_attributes']"
48,Show me the impact level near CTE Braddell just now?,"['spatio_temporal', 'traffic_impact']"
49,Any idea why incident severity near Sengkang right now?,"['causal_analysis', 'incident_detection', 'incident_classification', 'spatio_temporal']"
50,I think something's off any anomalies in the northern sector and compare with yesterday.,"['traffic_anomaly', 'spatio_temporal']"
51,Not sure but looks like post-incident recovery just now?,['incident_detection']
52,Please pull up any anomalies at expressway interchanges today?,['traffic_anomaly']
53,Quick check: travel time delays in the northern sector if possible.,"['spatio_temporal', 'traffic_impact']"
54,"Hey, can you check forecast for the next hour around Marina Bay","['traffic_forecasting', 'spatio_temporal']"
55,"Hey, can you check traffic situation around Punggol today?",['spatio_temporal']
56,"Hey, can you check incident severity around Marina Bay for the evening peak?","['incident_detection', 'incident_classification', 'spatio_temporal']"
57,Show me what caused the jam near Sengkang since morning?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
58,Could you find out whether it's due to roadwork along Thomson Road no visualisation needed.,['visualization']
